dataset,regime,problem_id,route_pairs,h1_effect,h2_effect,h3_success_difference,h3_margin_gap
gsm8k,far,141e8e1139f640b542ca30d771adcd1363b34bf4e0ea0d69f70778b851e3cd22,36,2.3129646346357427e-18,,0.0,0.0
gsm8k,far,053f45e769c518be9409a1a469b78d4cbdcc2f2b69ee57e9696a3f7aac26f865,36,0.0,0.16666666666666669,0.0,0.0
gsm8k,far,07836807c799f44f985d68c5ac193129be1a909f70dd66f3ca725237c70d21d0,36,0.0,0.0,0.0,0.0
gsm8k,far,0a90137d878c466752ea670315566fc7c486b9a1c8c941728aa090500268b88a,36,,0.027777777777777787,0.0,0.25
gsm8k,far,13e140ab86daaa95907a1336e9956e8b9ba84bb7d22a4e830e4b5b91c577b6c1,36,,0.08333333333333336,1.0,0.125
gsm8k,far,003c5304d9aeda0ff30e926faf27e7c05d3f50f4092b2f11e6230f8f386a342e,36,,0.022222222222222223,0.0,0.0
gsm8k,far,108322157a1a80c8fffdc04247bb587d51b31ae1098d6050ddaa84e211f3239e,36,0.0,0.0,0.0,0.625
gsm8k,far,10e1f8f18d2d7e76129039b75a60cde44d6a9363b635ad9a815db5566e370aa6,36,,-0.041666666666666664,0.0,0.25
gsm8k,far,09611f03a9663025cb6a8e83393c35e56c6ada8c2e18b9e16f04e310d71911ed,36,,0.0,0.0,0.0
gsm8k,far,016b7006ad5b0ff11254e7455223b767cc58025364a3a19065e50a18fcd6b790,36,,0.0,0.0,-0.4375
gsm8k,far,0fc725c1e9d630e2603002ee72e5d4e287bb9c7e8e0eb7c92af3898cb85acef6,36,,0.0,0.0,-0.375
gsm8k,far,108dbd98a8139a89720bba86516be71c441f13844d2e00b278f8b22b85013635,36,,0.0,0.0,0.0
gsm8k,far,06a2b53d8ececf53f1092fc711a0bb794b12888d333bc187d54ea61ccde17db7,36,0.0,0.0,0.0,-0.125
gsm8k,far,04652af213b74506abd3f15174298a9bc0e0ac09aed9eed6b1f1edad55136824,36,,-0.05555555555555555,0.0,-0.125
gsm8k,far,03ea74dbe0e889127611a6a748dd8c83f34ba9125b971f03426c1686b21d39aa,36,,,0.0,0.0
gsm8k,far,07e68ddc7da04c025b9a9a78a3de743b6425b2b082b8c564b147847de6111d3d,36,,0.0,0.0,-0.25
gsm8k,far,0db78aa60991967366234e2b072b1e2a623e706b76a8bfecce302ceade066291,36,,0.05555555555555555,0.0,0.0
gsm8k,far,088d10c02110355ef22f82f81ed015cac5a87de746a81df9e5d14f3254abe9dc,36,0.0,,0.0,0.0
gsm8k,far,0172bc0c9804157b5970e65921f8da5f7310e035b257e86f66ddcedef2dd8ce9,36,0.0,0.0,0.0,-0.625
gsm8k,far,06d0657a08d5164257b70fa6d622d5ef73a8d9e8934a605c71d792c52d303983,36,0.0,,0.0,0.4375
gsm8k,far,07cde4e475a98b4bfa2c6756218ad05c143f352779dfcd4b197bc0f2691bd79f,36,,-0.037037037037037035,0.0,0.0
gsm8k,far,09a1f6f4ccc6a195576515c83ba810036e3563e2b2ed1881c13c90f5ffc37f1a,36,,0.0,0.0,0.0
gsm8k,far,01660672c0a47f378ea0431da9c1ba1ec4bbbb577b3cb2949e53b07db074d012,36,0.0,,0.0,0.0
gsm8k,far,136aeda7ea6fcf2e6c173e2eb3a3222afd46ffb099d218c36d4643a19168183a,36,,,0.0,0.0
gsm8k,far,0cc2ca2bdd6ee8d664eb1197e8020bac71c25ba0ce52d813fc4adbf08df22378,36,,0.0,0.0,0.0625
gsm8k,far,09a8532e00e3cd9a41779c00b791730f72848bf57e0ea9e380ad034816e7ec31,36,,0.0,0.0,-0.125
gsm8k,far,10431490fcbd69a5cd0662519cd650bd98179937b015d81e8163833a05beba28,36,,0.0,0.0,0.0625
gsm8k,far,1084abb10503718ac570166b60049bc3a369725c05331856def313eabccf311f,36,,0.0,0.0,0.3125
gsm8k,far,0d6711e2925a53337f67f59afa6a7f32502619a68b984fef473f8e425ae08e42,36,,,0.0,0.0
gsm8k,far,06c1abfe55fcc87a2559500d01e1db0ffee09ccde3373bfd33ea7853c4da946b,36,,9.25185853854297e-18,0.0,-0.0625
gsm8k,far,042c02746802e4b6763c837914f0f28fae17f14c6a32cd98c2e254791fc07dfb,36,0.0,-0.3333333333333333,0.0,-0.125
gsm8k,far,069f6cd31d89a97c36ab1db340958a0a435416660ed1f7cc4555a93bc466ac81,36,,0.0,1.0,0.875
gsm8k,far,00654999ca85285f19b8896f7ffaaf5981bf88701cf26a8e50650cf959fea3da,36,,,0.0,0.125
gsm8k,far,02110f4c95ec33333218253ae7507fd0f6bee98c922548bb1b6814b066271c14,36,,0.0,0.0,0.0
gsm8k,far,0264a7faeb62e07f12a024bea6129f85d6dbd974c7bce73ac94d14ec229c4eda,36,,0.0,0.0,-0.5625
gsm8k,far,0dd2f0349ad536b73d1628c7a8ba96eae512476c34cb8f1c105017e1597b15dd,36,0.0,0.0,0.0,-0.625
gsm8k,far,0f822fbb0811bdf80fae5e0a54391aa6cc7cfb7cab69d2504f69f47458c69805,36,,0.0,0.0,-0.25
gsm8k,far,0e762e85088891d175fbaeb6bfde84da3677c5e15b683f064258d1d66baa3592,36,0.05555555555555557,0.0,1.0,0.875
