model_id,prompt_mode,domain,pairs,pair_accuracy,self_accuracy,opponent_accuracy,flip_rate,same_action_rate
qwen25_math7b,local_operator,logistics,30,0.23333333333333334,0.8666666666666667,0.26666666666666666,0.3333333333333333,0.6666666666666666
qwen25_math7b,local_operator,resource_game,30,0.3,0.9333333333333333,0.36666666666666664,0.3,0.7
qwen25_math7b,local_operator,tool_agent,30,0.2,0.8333333333333334,0.23333333333333334,0.3333333333333333,0.6666666666666666
qwen25_math7b,positive_operator,abstract_game,30,0.26666666666666666,0.8,0.4,0.3333333333333333,0.6666666666666666
qwen25_math7b,positive_operator,cyber_defense,30,0.13333333333333333,0.9,0.13333333333333333,0.23333333333333334,0.7666666666666667
qwen25_math7b,positive_operator,exploration,30,0.23333333333333334,0.8333333333333334,0.3333333333333333,0.3,0.7
qwen25_math7b,positive_operator,logistics,30,0.4,0.9333333333333333,0.43333333333333335,0.43333333333333335,0.5666666666666667
qwen25_math7b,positive_operator,resource_game,30,0.23333333333333334,0.9333333333333333,0.26666666666666666,0.26666666666666666,0.7333333333333333
qwen25_math7b,positive_operator,tool_agent,30,0.5,0.9333333333333333,0.5,0.5666666666666667,0.43333333333333335
qwen35_4b,bellman,abstract_game,30,0.9,1.0,0.9,0.9,0.1
qwen35_4b,bellman,cyber_defense,30,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.13333333333333333
qwen35_4b,bellman,exploration,30,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.13333333333333333
qwen35_4b,bellman,logistics,30,0.9,1.0,0.9,0.9,0.1
qwen35_4b,bellman,resource_game,30,0.9,1.0,0.9,0.9,0.1
qwen35_4b,bellman,tool_agent,30,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.06666666666666667
qwen35_4b,cot,abstract_game,30,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.03333333333333333
qwen35_4b,cot,cyber_defense,30,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.13333333333333333
qwen35_4b,cot,exploration,30,0.9,0.9666666666666667,0.9333333333333333,0.9,0.1
qwen35_4b,cot,logistics,30,0.7333333333333333,1.0,0.7333333333333333,0.7333333333333333,0.26666666666666666
qwen35_4b,cot,resource_game,30,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.03333333333333333
qwen35_4b,cot,tool_agent,30,1.0,1.0,1.0,1.0,0.0
qwen35_4b,direct,abstract_game,30,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.26666666666666666
qwen35_4b,direct,cyber_defense,30,0.4,0.8333333333333334,0.5666666666666667,0.4,0.6
